ip,fqdn
23.131.160.7,3.north-america.pool.ntp.org
23.131.160.7,us.pool.ntp.org
23.132.28.58,0.north-america.pool.ntp.org
23.132.28.58,1.ca.pool.ntp.org
23.132.28.58,2.north-america.pool.ntp.org
23.132.28.58,3.ca.pool.ntp.org
23.132.28.58,3.north-america.pool.ntp.org
23.132.28.58,ca.pool.ntp.org
23.137.255.15,3.north-america.pool.ntp.org
23.137.255.15,us.pool.ntp.org
23.141.40.123,0.north-america.pool.ntp.org
23.141.40.123,0.us.pool.ntp.org
23.141.40.123,2.north-america.pool.ntp.org
23.141.40.123,3.us.pool.ntp.org
23.141.40.123,us.pool.ntp.org
23.141.40.124,0.us.pool.ntp.org
23.141.40.124,1.north-america.pool.ntp.org
23.141.40.124,2.us.pool.ntp.org
23.141.40.124,3.north-america.pool.ntp.org
23.141.40.124,3.us.pool.ntp.org
23.141.40.124,us.pool.ntp.org
23.142.248.8,2.north-america.pool.ntp.org
23.142.248.8,3.north-america.pool.ntp.org
23.142.248.8,3.us.pool.ntp.org
23.142.248.8,us.pool.ntp.org
23.142.248.9,0.north-america.pool.ntp.org
23.142.248.9,2.us.pool.ntp.org
23.142.248.9,3.north-america.pool.ntp.org
23.142.248.9,3.us.pool.ntp.org
23.142.248.9,us.pool.ntp.org
23.143.196.200,0.us.pool.ntp.org
23.143.196.200,1.north-america.pool.ntp.org
23.143.196.200,2.north-america.pool.ntp.org
23.143.196.200,3.north-america.pool.ntp.org
23.143.196.200,us.pool.ntp.org
23.143.196.201,0.north-america.pool.ntp.org
23.143.196.201,0.us.pool.ntp.org
23.143.196.201,1.us.pool.ntp.org
23.143.196.201,2.north-america.pool.ntp.org
23.143.196.201,3.us.pool.ntp.org
23.143.196.201,us.pool.ntp.org
23.143.196.202,1.us.pool.ntp.org
23.143.196.202,2.us.pool.ntp.org
23.143.196.202,3.north-america.pool.ntp.org
23.143.196.202,us.pool.ntp.org
23.143.196.203,2.north-america.pool.ntp.org
23.143.196.203,3.north-america.pool.ntp.org
23.143.196.203,3.us.pool.ntp.org
23.143.196.203,us.pool.ntp.org
23.143.196.204,0.north-america.pool.ntp.org
23.143.196.204,0.us.pool.ntp.org
23.143.196.204,2.north-america.pool.ntp.org
23.143.196.204,3.north-america.pool.ntp.org
23.143.196.204,us.pool.ntp.org
23.149.208.4,2.us.pool.ntp.org
23.149.208.12,2.us.pool.ntp.org
23.149.208.12,3.north-america.pool.ntp.org
23.149.208.12,3.us.pool.ntp.org
23.150.41.122,1.north-america.pool.ntp.org
23.150.41.122,1.us.pool.ntp.org
23.150.41.122,2.north-america.pool.ntp.org
23.150.41.122,2.us.pool.ntp.org
23.150.41.122,us.pool.ntp.org
23.150.41.123,0.north-america.pool.ntp.org
23.150.41.123,0.us.pool.ntp.org
23.150.41.123,3.north-america.pool.ntp.org
23.150.41.123,us.pool.ntp.org
23.152.160.74,0.north-america.pool.ntp.org
23.152.160.74,1.us.pool.ntp.org
23.152.160.74,2.us.pool.ntp.org
23.152.160.74,3.north-america.pool.ntp.org
23.152.160.74,us.pool.ntp.org
23.155.72.147,0.north-america.pool.ntp.org
23.155.72.147,1.north-america.pool.ntp.org
23.155.72.147,2.us.pool.ntp.org
23.155.72.147,3.north-america.pool.ntp.org
23.155.72.147,us.pool.ntp.org
23.155.224.39,0.north-america.pool.ntp.org
23.157.100.123,0.us.pool.ntp.org
23.157.100.123,3.north-america.pool.ntp.org
23.157.100.123,us.pool.ntp.org
